nombre_empresa,estado,porcentaje_recargo,porcentaje_devolucion,dia_facturacion,dia_vencimiento,monto_maximo,monto_acumulado,rut_empresa,cuenta_corriente
CERTIFICACIONES E INSPECCIONES TANK CONT,1,30,1.00,21,15,1000000,0,77005636-5,M23352-0
CLIMBERS SPA ,1,30,1.00,21,15,1000000,0,76438121-1,M23543-4
CLUB AEREO DEL PERSONAL DEL EJERCITO,1,30,1.00,21,15,110000000,0,70019500-7,M20881-K
COMERCIALIZADORA IBEROAMERICANA RADIO CH,1,30,1.00,21,15,1000000,0,79947310-0,M23334-2
COMERCIALIZADORA TRILOGIA EL TREBOL SPA ,1,30,1.00,21,15,1000000,0,77857089-0,M23729-1
COMERCIALIZADORA Y SERVICIOS BICENTENARI,1,30,1.00,21,15,1000000,0,77724044-7,M23752-6
COMPANIA DE SERVICIOS INDUSTRIALES LIMIT,1,30,1.00,21,15,1,0,85840100-3,B15333-9
COMPASS CATERING Y SERVICIOS CHILE,1,30,1.00,21,15,2500000,0,78544560-0,M22255-3
COMUNICACIONES Y ASESORIAS TURISTICAS SP,1,30,1.00,21,15,1000000,0,77057656-3,M23307-5
CONPAX MONTAJES SPA ,1,30,1.00,21,15,1000000,0,99511310-4,M23437-3
CONSORCIO ACCIONA OSSA PIZZAROTTI II SPA,1,30,1.00,21,15,1000000,0,78017978-3,M23708-9
CONSORCIO TALABRE S.A,1,30,1.00,21,15,1000000,0,77695987-1,M23449-7
"CONSTRUCCION, TURUISMO, Y ASESORIAS LUIS",1,30,1.00,21,15,1,0,76564794-0,B15533-1
CONSTRUCCIONES RENTA CR SPA,1,30,1.00,21,15,1000000,0,76276036-3,M22473-4
CONSTRUCCIONES VEGA SPA.,1,30,1.00,21,15,1,0,76366587-9,E79354-1
CONSTRUCCIONES Y MONTAJES COM S A,1,30,1.00,21,15,1000000,0,96717980-9,M22849-7
CONSTRUCCIONES Y PAVIMENTOS LTDA,1,30,1.00,21,15,1,0,96538130-9,M05250-K
CONSTRUCTORA CARLOS ALBERTO ANDRES ALBIS,1,30,1.00,21,15,1,0,76346498-9,E79343-6
CONSTRUCTORA CONSORCIO ICSK-COSAPI LTDA,1,30,1.00,21,15,1000000,0,76991836-1,M22775-K
CONSTRUCTORA DE PRAGA SPA ,1,30,1.00,21,15,1000000,0,76007523-K,M23306-7
CONSTRUCTORA EL SAUCE S.A.,1,30,1.00,21,15,1000000,0,79775100-6,M23695-3
CONSTRUCTORA LADOSUR LTDA,1,30,1.00,21,15,1,0,76296491-0,E79318-5
CONSTRUCTORA P J P LTDA.,1,30,1.00,21,15,1,0,78546290-4,M19654-4
CONSTRUCTORA TOCAL LTDA.,1,30,1.00,21,15,1,0,76022955-5,G19090-0
CONSTRUTORA SANTA MARIA LTDA,1,30,1.00,21,15,1,0,76334735-4,B15549-8
COOPERATVA DE CONSUMOS CARABINEROS DE CH,1,30,1.00,21,15,1000000,0,81242500-5,M22557-9
CORPESCA S A,1,30,1.00,21,15,1,0,96893820-7,B12003-1
CORPORACION VIAL S.A.,1,30,1.00,21,15,1000000,0,76149673-5,M23459-4
CPT REMOLCADORES S.A.,1,30,1.00,21,15,2500000,0,76037572-1,M22039-9
CQM CHILE SERVICIOS DE INGENIERIA ,1,30,1.00,21,15,1,0,77051873-3,E79370-3
CRECER CONSULTORES LTDA,1,30,1.00,21,15,1,0,76129010-K,A11150-0
CRUZ DEL NORTE S.A.,1,30,1.00,21,15,1,0,76534490-5,B15285-5
DE LA FUENTE Y CARPANETTI LIMITADA,1,30,1.00,21,15,1,0,78421650-0,B15513-7
DEFENSORIA PENAL PUBLICA ,1,30,1.00,21,15,1,0,61941900-6,B15337-1
DGIM  INVERSIONES S.A.,1,30,1.00,21,15,1,0,76129362-1,D46095-6
DIRECCION GENERAL DE CARABINEROS DE CHIL,1,30,1.00,21,15,1000000,0,60505000-K,M23673-2
DIRECCION GRAL DE MOVILIZACION NACIONAL,1,30,1.00,21,15,1000000,0,61110000-0,M23563-9
DISTRIBUIDORA CUMMINS CHILE S A,1,30,1.00,21,15,1,0,96843140-4,B00507-0
DISTRIBUIDORA DE EXPLOSIVOS Y ACCESORIOS,1,30,1.00,21,15,1000000,0,99505900-2,M23432-2
DISTRIBUIDORA VENTA Y SERVICIOS GLOBALIZ,1,30,1.00,21,15,1000000,0,76867580-5,M23186-2
DIVISION DE PERSONAL ,1,30,1.00,21,15,1000000,0,61980120-2,M20799-6
DIVISION LOGISTICA DEL EJERCITO,1,30,1.00,21,15,1,0,61101078-8,M05362-K
DREAMSIDE ING. INFORMATICA INTEGRAL LTDA,1,30,1.00,21,15,1,0,76165270-2,A11153-5
DS CERTIFICACIONES SPA ,1,30,1.00,21,15,1000000,0,76954737-1,M23336-9
DUFFCO INGENIERIRA Y CONSTRUCCION SPA ,1,30,1.00,21,15,1000000,0,77119761-2,M23285-0
ECOMET S.A.,1,30,1.00,21,15,1000000,0,81163600-2,M20558-6
EIFFAGE ENERGIA CHILE LTDA. ,1,30,1.00,21,15,1000000,0,76328136-1,M23296-6
EL ESPINO SPA,1,30,1.00,21,15,1,0,77875499-1,C23323-9
ELECCON MAQUINARIAS S.A.,1,30,1.00,21,15,1,0,99576460-1,A11155-1
ELECTRICIDAD CRISTIAN CASTRO VILLANUEVA ,1,30,1.00,21,15,1000000,0,76334979-9,M23092-0
ELIAS RESK CONTRERAS TRASNPORTES Y SERVI,1,30,1.00,21,15,1,0,76183251-4,C23329-8
EMP`RESA CONSTRUCTORA ECOCIL S.A.,1,30,1.00,21,15,1,0,76015444-K,M19704-4
EMPRESA CONSTRUCTORA BELFI S A,1,30,1.00,21,15,1000000,0,92562000-9,M23359-8
EMPRESA DE SERVICIOS INTEGRALES PORTUARI,1,30,1.00,21,15,1,0,77134000-8,B15189-1
EMPRESA DE SOLUCIONES MINERAS ESM SPA ,1,30,1.00,21,15,1000000,0,76376573-3,M23265-6
EMPRESA DE TRANSPORTE FERROVIARIO S A,1,30,1.00,21,15,2500000,0,96545600-7,M21042-3
EMPRESAS DE BUSES HUALPEN LTDA,1,30,1.00,21,15,1000000,0,84794200-2,M23659-7
EQUANS INDUSTRIAL SPA,1,30,1.00,21,15,1000000,0,88689100-8,M23341-5
EQUANS SERVICIOS DE MANTENCION SPA ,1,30,1.00,21,15,1000000,0,96858530-4,M23690-2
EQUANS TELECOM S.P.A,1,30,1.00,21,15,1000000,0,76344931-9,M23435-7
EQUIPOS Y SERVICIOS AURA LIMITADA ,1,30,1.00,21,15,1,0,77849990-8,A11165-9
EXPLORACIONES MINERAS ANDINAS S.A.,1,30,1.00,21,15,1000000,0,99569520-0,M23453-5
FANDANCE CL SPA,1,30,1.00,21,15,1,0,77808801-0,B15546-3
FENIX GOLD LIMITADA ,1,30,1.00,21,15,1,0,76041586-3,C23327-1
FERROCARRIL DEL PACIFICO S.A.,1,30,1.00,21,15,1000000,0,96684580-5,M23260-5
FINNING CHILE S A,1,30,1.00,21,15,1,0,91489000-4,M19761-3
FLUX SOLAR ENERGIAS RENOVABLES SPA,1,30,1.00,21,15,1000000,0,76172285-9,M23085-8
FUNDACION DESAFIO LEVANTEMOS CHILE ,1,30,1.00,21,15,1000000,0,65943320-6,M23372-5
FUNDACION EDUCACIONAL ESCONDIDA ,1,30,1.00,21,15,1,0,74191400-K,B15490-4
G4S SECURITY SERVICES REGIONES S.A.,1,30,1.00,21,15,1000000,0,96912870-5,M23520-5
GEO ATACAMA CONSULTORES LTDA,1,30,1.00,21,15,1,0,78162070-K,C23106-6
GESTION DE PROYECTOS PRO  LIMITADA,1,30,1.00,21,15,1,0,77902720-1,C01011-6
GFS MONTAJE SPA,1,30,1.00,21,15,1000000,0,77114684-8,M23238-9
GISER SOCIEDAD ANONIMA,1,30,1.00,21,15,1000000,0,78542610-K,M23568-K
GM ENERGY SPA,1,30,1.00,21,15,1000000,0,76240099-5,M23744-5
GM RENEWABLES HOLDINGS SPA,1,30,1.00,21,15,1000000,0,77005143-6,M23539-6
GOHE INVERSIONES SPA,1,30,1.00,21,15,1000000,0,77196779-5,M23682-1
HIDROGESTION SPA,1,30,1.00,21,15,1000000,0,96693430-1,M23621-K
HOSPITAL DR. JUAN NOE CREVANI ,1,30,1.00,21,15,1,0,61606001-5,A11158-6
HY-TECH GRIFFITH DRILLING CHILE SPA ,1,30,1.00,21,15,1,0,77498478-K,D46168-5
HYDRO INGENIERIA Y CONSTRUCCION SPA ,1,30,1.00,21,15,1000000,0,76427264-1,M22978-7
I MUNICIPALIDAD DE COPIAPO,1,30,1.00,21,15,1,0,69030200-4,C07035-6
I MUNICIPALIDAD DE MARIA ELENA,1,30,1.00,21,15,1,0,69253600-2,B08001-3
ICIL ICAFAL S A,1,30,1.00,21,15,1000000,0,86500000-6,M22979-5
ID CHILE SERVICIOS SPA,1,30,1.00,21,15,1,0,76738857-8,B15554-4
IMOPAC LTDA.,1,30,1.00,21,15,1,0,79807570-5,C23313-1
INGENIERIA  SERVICIOS COMERCIALIZADORA  ,1,30,1.00,21,15,1,0,76169929-6,B15474-2
INGENIERIA CG MONTAJES S. A.,1,30,1.00,21,15,2500000,0,76032544-9,M21276-0
INGENIERIA Y MOVIMIENTO DE TIERRAS TRANE,1,30,1.00,21,15,1000000,0,79971430-2,M23115-3
INGENIERIA Y SERVICIOS CHOAPA LTDA.,1,30,1.00,21,15,1,0,76162750-3,D46102-2
INGENOVA  ASESORIAS S.A ,1,30,1.00,21,15,1000000,0,76215827-2,M23555-8
INGENOVA S A,1,30,1.00,21,15,1,0,96922700-2,M20249-8
INMOBILIARIA E INVERSIONES QUILODRAN LTD,1,30,1.00,21,15,1,0,77193770-5,D46182-0
INNOVATORS CONVEYOR BELT SPA,1,30,1.00,21,15,1,0,76105655-7,B15528-5
INNOVATORS HOLDING SPA ,1,30,1.00,21,15,1,0,76585328-1,B15498-K
INSTITUCION DE SALUD PREVISIONAL NORTE G,1,30,1.00,21,15,1,0,79906120-1,B08002-1
INVERSION XR3 SPA,1,30,1.00,21,15,1000000,0,76642773-1,M23182-K
INVERSIONES FARIAS Y FARIAS SPA ,1,30,1.00,21,15,1,0,76093010-5,B15527-7
ISS CHILE S.A,1,30,1.00,21,15,1,0,99559230-4,B15508-0
JFC INGENIERIA Y CONSTRUCCION ,1,30,1.00,21,15,1,0,76952996-9,A11154-3
JOY GLOBAL CHILE S.A.,1,30,1.00,21,15,1,0,95616000-6,B00181-4
KOMATSU CHILE S A,1,30,1.00,21,15,1,0,96843130-7,A11040-7
KONECRANES CHILE SPA,1,30,1.00,21,15,1000000,0,76126252-1,M23447-0
LA IGLESIA DE JESUCRISTO S.U.D CHILE,1,30,1.00,21,15,1,0,65409870-0,B15314-2
MAJOR DRILLING CHILE S A,1,30,1.00,21,15,1,0,96576440-2,D46011-5
MAQUINARIAS Y SERVICIOS TAMBLAY LTDA ,1,30,1.00,21,15,1,0,77377410-2,C23223-2
MARIA LORETO HERRERA SPANO SERVICIOS E.I,1,30,1.00,21,15,1,0,76053809-4,D46147-2
MAURICIO ZARATE ESPINOZA EIRL ,1,30,1.00,21,15,1,0,76109545-5,B15501-3
MEDITERRANEA DE CATERING SL UNIPERSONAL ,1,30,1.00,21,15,1000000,0,59179270-9,M23584-1
MEGAPARTS S.A.,1,30,1.00,21,15,1000000,0,96642300-5,M23256-7
MGI ASESORIAS EIRL,1,30,1.00,21,15,1,0,76215763-2,B15557-9
MIES EMPRESA DE SERVICIOS INDUSTRIALES L,1,30,1.00,21,15,1,0,79532470-4,E79352-5
MILTON ASTUDILLO CAPETILLO,1,30,1.00,21,15,1,0,8099175-4,B15510-2
MINERA ANITA SPA ,1,30,1.00,21,15,1000000,0,76023495-8,M22802-0
MINERA GOLD FIELDS SALARES NORTE SPA,1,30,1.00,21,15,1000000,0,76101725-K,M23272-9
MINERA Y CONSTRUCCION CEI S.A.,1,30,1.00,21,15,1,0,76110556-6,C23279-8
MINERAL DRILLING SPA,1,30,1.00,21,15,110000000,0,76128865-2,M20840-2
MINING SERVICES GROUP S.A.,1,30,1.00,21,15,1000000,0,76002578-K,M20534-9
MODUL DESIGN SPA,1,30,1.00,21,15,1000000,0,77089281-3,M23626-0
MOL AMBIENTE S.A.,1,30,1.00,21,15,1000000,0,99536660-6,M20781-3
MORPET TECNOLOGIAS APLICADAS S.A.,1,30,1.00,21,15,1000000,0,96562320-5,M23569-8
MOUNTAIN DRILLING  LTDA,1,30,1.00,21,15,1,0,76322002-8,D46156-1
MSI MININNG SPA,1,30,1.00,21,15,1000000,0,76249985-1,M22766-0
MUTUAL DE SEGURIDAD CAMARA CHILENA DE LA,1,30,1.00,21,15,1,0,70285100-9,C07005-4
NEWREST CHILE SOPORTE LTDA ,1,30,1.00,21,15,2500000,0,76951620-4,M21776-2
ORBIT GARANT CHILE S.A.,1,30,1.00,21,15,2500000,0,81503700-6,M21909-9
ORICA CHILE S.A.,1,30,1.00,21,15,1,0,95467000-7,M19862-8
POLYTEX S.A.,1,30,1.00,21,15,1000000,0,96777810-9,M23431-4
PROA NORTE SPA,1,30,1.00,21,15,1,0,76455577-5,B15544-7
RECURSOS PORTUARIOS Y ESTIBAS LTDA,1,30,1.00,21,15,1,0,79509640-K,E79367-3
RELIX S.A.,1,30,1.00,21,15,1000000,0,76240120-7,M23445-4
REMAVESA S.A.,1,30,1.00,21,15,1000000,0,96753020-4,M23377-6
REMSA SPA,1,30,1.00,21,15,1000000,0,77082677-2,M23350-4
REPORT SERVICIOS PORTUARIOS SPA,1,30,1.00,21,15,1,0,77645576-8,E79369-K
REPREIND SPA ,1,30,1.00,21,15,1,0,76440733-4,D46174-K
RUBEN CERDA E HIJOS LTDA. ,1,30,1.00,21,15,1,0,76169119-8,C23330-1
S Q M SALAR SPA,1,30,1.00,21,15,1,0,79626800-K,B08012-9
SAN LORENZO MINERIA LIMITADA ,1,30,1.00,21,15,1,0,77684488-8,B15555-2
SANTA ELVIRA S.A.,1,30,1.00,21,15,1,0,86146400-8,C01008-6
SAYEL LIMITADA ,1,30,1.00,21,15,1,0,77299921-6,B15512-9
SERVICIO DE CONTROL DE ACTIVOS LTDA,1,30,1.00,21,15,1000000,0,76144714-9,M23138-2
SERVICIO DE SALUD ANTOFAGASTA HOSPITAL L,1,30,1.00,21,15,1,0,61606201-8,B00149-0
SERVICIO DE SALUD ATACAMA HOSPITAL COPIA,1,30,1.00,21,15,1,0,61606307-3,C23213-5
SERVICIOS DE INTEGRACION TECNOLOGICA TRE,1,30,1.00,21,15,1,0,79654650-6,M20154-8
SERVICIOS INDUSTRIALES WARNER SPA,1,30,1.00,21,15,1,0,78747740-2,C23310-7
SERVICIOS INTEGRALES DE TRANSITOS Y TRAN,1,30,1.00,21,15,1000000,0,79770780-5,M23689-9
SERVICIOS MARITIMOS MIGUEL GARCIA LIMITA,1,30,1.00,21,15,1,0,76416144-0,E79357-6
SERVICIOS MARITIMOS Y TRANSPORTES S.A.,1,30,1.00,21,15,10000000,0,76161234-4,J45279-5
SERVICIOS MINEROS MINTRAL LIMITADA ,1,30,1.00,21,15,1000000,0,77554545-3,M23597-3
SERVICIOS MINEROS TRICOMIN S.A.,1,30,1.00,21,15,1000000,0,78956240-7,M23254-0
SERVICIOS PROCURE SPA,1,30,1.00,21,15,1000000,0,76111036-5,M23429-2
SG INGENIERIA ELECTRICA LTDA.,1,30,1.00,21,15,1000000,0,76088067-1,M23608-2
SIGA INGENIERIA Y CONSULTORIA S.A.,1,30,1.00,21,15,1000000,0,78929230-2,M23418-7
SIND TRAB N 3 DE EMP COD CHILE DIV COD N,1,30,1.00,21,15,1,0,71495800-3,B15361-4
SINDICATO DE TRABAJADORES Nº1 DE LYD ,1,30,1.00,21,15,110000000,0,65254860-1,M20885-2
SINDICATO N°3 FINNING CHILE S.A.,1,30,1.00,21,15,1,0,65482330-8,B00519-4
SINDICATO NACIONAL N° 2  EMPRESA FINNING,1,30,1.00,21,15,1,0,70292600-9,B15551-K
SK INDUSTRIAL S.A.,1,30,1.00,21,15,1000000,0,76662490-1,M23508-6
SOC DE SERVICIOS TECNICOS GEOLOGICOS GEO,1,30,1.00,21,15,2500000,0,93545000-4,M21075-K
SOC INVERSIONES PAMPA UNION LIMITADA,1,30,1.00,21,15,1,0,77066820-4,B15530-7
SOC SERVICIOS INGENIERIA Y MANTENCION IN,1,30,1.00,21,15,1000000,0,76009541-9,M23125-0
SOC. DE OPERACIONES GEOFISICAS LIMITADA,1,30,1.00,21,15,1,0,79634910-7,C07016-K
SOCIEDAD DE INGENIERIA Y CONSTRUCCION IN,1,30,1.00,21,15,1,0,77400461-0,C23325-5
SOCIEDAD DE SERVICIOS CLINICOS S.A. ,1,30,1.00,21,15,1000000,0,76083103-4,M23439-K
SOCIEDAD DE SERVICIOS DE INGENERIA MECAN,1,30,1.00,21,15,1,0,76005567-0,C23303-4
SOCIEDAD DEMOLICIONES MARIO PORZIO S.A.,1,30,1.00,21,15,1000000,0,78648780-3,M23736-4
SOCIEDAD GONZALEZ Y VALDES SPA ,1,30,1.00,21,15,1,0,76531426-7,A11159-4
SOCIEDAD ORIETTA ARAYA PANGUE HIJOS Y CI,1,30,1.00,21,15,1,0,77845920-5,D46167-7
SOCIEDAD PUNTA DEL COBRE S.A,1,30,1.00,21,15,1,0,96561560-1,C23319-0
SOCIEDAD QUIMICA Y MINERA DE CHILE S A,1,30,1.00,21,15,1,0,93007000-9,B08004-8
SODEXO CHILE SPA,1,30,1.00,21,15,2500000,0,94623000-6,M22311-8
SOLETANCHE BACHY CHILE SPA,1,30,1.00,21,15,1,0,96505160-0,B02043-6
SOLUCIONES MINERAS SPA ,1,30,1.00,21,15,1,0,77722803-K,E79368-1
SOLUCIONES QUIMICAS TEMPLO SPA,1,30,1.00,21,15,1000000,0,76823018-8,M23241-9
SONDAJES SPA,1,30,1.00,21,15,2500000,0,96690360-0,M22013-5
SONIA TAPIA Y CIA .LTDA,1,30,1.00,21,15,1,0,77584530-9,G19110-9
SOUTHERNROCK GEOPHYSICS S.A.,1,30,1.00,21,15,1,0,96808790-8,B15331-2
SQM INDUSTRIAL S.A.,1,30,1.00,21,15,1,0,79947100-0,B15005-4
SQM NITRATOS S A,1,30,1.00,21,15,1,0,96592190-7,B08005-6
STEEL INGENIERIA S A,1,30,1.00,21,15,1,0,96846410-8,E79356-8
STS INGENIERIA Y CONSTRUCCION LTDA,1,30,1.00,21,15,1,0,77211410-9,E79245-6
SUATRANS CHILE S.A ,1,30,1.00,21,15,1000000,0,76047102-K,M23113-7
SURVEYING CONTROL SYSTEMS LTDA ,1,30,1.00,21,15,2500000,0,77834590-0,M22185-9
TECNICA NACIONAL SERVICIOS INGENIERIA Y ,1,30,1.00,21,15,1000000,0,96917120-1,M23259-1
TECNO FAST S.A.,1,30,1.00,21,15,1000000,0,76320186-4,M22843-8
TECNOLOGIA DE MATERIALES CHILE S.A,1,30,1.00,21,15,1000000,0,76537760-9,M23273-7
TECNOLOGIA EN TRANSPORTE DE MINERALES S.,1,30,1.00,21,15,1000000,0,89026600-2,M20677-9
TECSIS INGENIERIA S.A,1,30,1.00,21,15,1000000,0,96649340-2,M23724-0
TERMIKA INGENIERIA Y MONTAJE SPA,1,30,1.00,21,15,1000000,0,96902900-6,M23433-0
THIESS CHILE SPA ,1,30,1.00,21,15,2500000,0,76459756-7,M22137-9
THOR INGENIERIA EN AHORRO DE NEUMATICOS ,1,30,1.00,21,15,1,0,76184440-7,A11172-1
THOR SERVICIOS Y ASESORIAS EN AHORRO DE ,1,30,1.00,21,15,1,0,78080330-4,A11173-K
THOR SOCIEDAD DE TRANSPORTES Y LOGISTICA,1,30,1.00,21,15,1,0,76048534-9,A11171-3
TIP TOP SERVICE SPA,1,30,1.00,21,15,1000000,0,77058470-1,M23634-1
TRANSPORTES CONSORCIO SAN ANTONIO LTDA,1,30,1.00,21,15,1,0,76945326-1,E79347-9
TRANSPORTES EUROTRANS CHILE SPA ,1,30,1.00,21,15,1000000,0,76285074-5,M23124-2
TUNNING INGENIERIA SPA,1,30,1.00,21,15,1000000,0,78554660-1,M23322-9
TURISMO RAYS SPA ,1,30,1.00,21,15,1000000,0,76053189-8,M23187-0
UNITED SISTEMA DE TUBERIAS SPA,1,30,1.00,21,15,1000000,0,78451050-6,M23549-3
UNIVERSIDAD TECNICA FEDERICO SANTA MARIA,1,30,1.00,21,15,1,0,81668700-4,E79362-2
VECCHIOLA S A,1,30,1.00,21,15,1,0,87049000-3,C23305-0
VEDCKETROM   SEGURIDAD LTDA ,1,30,1.00,21,15,1,0,76066435-9,E79271-5
VIAL Y VIVES - DSD S.A.,1,30,1.00,21,15,1000000,0,76136076-0,M23602-3
WOLF  DRILLING LTDA,1,30,1.00,21,15,1,0,76098822-7,D46091-3
ZUBLIN INTERNATIONAL GMBH CHILE SPA,1,30,1.00,21,15,1,0,77555640-4,M19934-9
